problem,family,dim,method,seed,budget,success,first_feasible,best_f,final_ncv,elapsed_sec
LargeChain1000,chain,1000,JADE-NCV,9,600,0,601,inf,43.19761545498465,0.0638681450000149
LargeChain1000,chain,1000,PSO,0,600,0,601,inf,52.2981152514424,0.0398735469989333
LargeChain1000,chain,1000,PSO,1,600,0,601,inf,51.81709625026431,0.0405776280003919
LargeChain1000,chain,1000,PSO,2,600,0,601,inf,43.17849201181622,0.0397195019995706
LargeChain1000,chain,1000,PSO,3,600,0,601,inf,42.01509673349942,0.044313983999018
LargeChain1000,chain,1000,PSO,4,600,0,601,inf,44.15213868988607,0.0398949089994857
LargeChain1000,chain,1000,PSO,5,600,0,601,inf,46.31792437107549,0.0407607950000965
LargeChain1000,chain,1000,PSO,6,600,0,601,inf,42.01850284686459,0.0404920099990704
LargeChain1000,chain,1000,PSO,7,600,0,601,inf,49.6588631050844,0.038044880999223
LargeChain1000,chain,1000,PSO,8,600,0,601,inf,46.202445919182246,0.0428518810003879
LargeChain1000,chain,1000,PSO,9,600,0,601,inf,50.96962327727162,0.0408866800007672
LargeShell1000,shell,1000,DCAS-DE,0,600,1,55,0.1415703414192154,0.0,0.7543015270002797
LargeShell1000,shell,1000,DCAS-DE,1,600,1,60,0.1587147655677426,0.0,0.7592014040001231
LargeShell1000,shell,1000,DCAS-DE,2,600,1,55,0.1363962457739845,0.0,0.7434002009995311
LargeShell1000,shell,1000,DCAS-DE,3,600,1,59,0.1452894109169696,0.0,0.7140044750012748
LargeShell1000,shell,1000,DCAS-DE,4,600,1,67,0.1634099341575485,0.0,1.0263461020003888
LargeShell1000,shell,1000,DCAS-DE,5,600,1,55,0.1916438959460706,0.0,0.8229972829994949
LargeShell1000,shell,1000,DCAS-DE,6,600,1,56,0.1670004763661451,0.0,0.7470391670012759
LargeShell1000,shell,1000,DCAS-DE,7,600,1,44,0.1256159948591882,0.0,0.8116919820004114
LargeShell1000,shell,1000,DCAS-DE,8,600,1,45,0.1570297188670378,0.0,0.8131038299998181
LargeShell1000,shell,1000,DCAS-DE,9,600,1,49,0.13320414710357,0.0,0.8257509019986173
LargeShell1000,shell,1000,DCAS-PSO,0,600,1,41,0.167336450550055,0.0,0.8616755210005067
LargeShell1000,shell,1000,DCAS-PSO,1,600,1,41,0.2095442088605757,0.0,0.7760476109997398
LargeShell1000,shell,1000,DCAS-PSO,2,600,1,43,0.1557599253962451,0.0,0.7677831689998129
LargeShell1000,shell,1000,DCAS-PSO,3,600,1,59,0.2110686625163299,0.0,0.7635044250000647
LargeShell1000,shell,1000,DCAS-PSO,4,600,1,41,0.172287906835028,0.0,0.8058668009998655
LargeShell1000,shell,1000,DCAS-PSO,5,600,1,47,0.2822292585215163,0.0,0.7987953369993193
LargeShell1000,shell,1000,DCAS-PSO,6,600,1,45,0.1921474262191328,0.0,3.2370715369997924
LargeShell1000,shell,1000,DCAS-PSO,7,600,1,41,0.1635626099292667,0.0,1.1831789180014312
LargeShell1000,shell,1000,DCAS-PSO,8,600,1,45,0.1536485430860728,0.0,1.4762525639998785
LargeShell1000,shell,1000,DCAS-PSO,9,600,1,43,0.171030049872232,0.0,1.5922270419996494
LargeShell1000,shell,1000,JADE-NCV,0,600,1,157,0.3470397192376516,0.0,0.0774192779990698
LargeShell1000,shell,1000,JADE-NCV,1,600,1,164,0.3264717129945333,0.0,0.0785190759997931
LargeShell1000,shell,1000,JADE-NCV,2,600,1,100,0.3099495293777109,0.0,0.0814108550002856
LargeShell1000,shell,1000,JADE-NCV,3,600,1,267,0.3180012555813784,0.0,0.0741522990010707
LargeShell1000,shell,1000,JADE-NCV,4,600,1,137,0.3280183820626106,0.0,0.075276389999999
LargeShell1000,shell,1000,JADE-NCV,5,600,1,255,0.3104269947544786,0.0,0.0848816449997684
LargeShell1000,shell,1000,JADE-NCV,6,600,1,205,0.3228280748997251,0.0,0.0756422399990697
LargeShell1000,shell,1000,JADE-NCV,7,600,1,180,0.2851375246399214,0.0,0.0701886370006832
LargeShell1000,shell,1000,JADE-NCV,8,600,1,183,0.2717346044162771,0.0,0.0790451129996654
LargeShell1000,shell,1000,JADE-NCV,9,600,1,194,0.3231512116050941,0.0,0.0942699940005695
LargeShell1000,shell,1000,PSO,0,600,1,41,0.3502998241999745,0.0,0.0499678420001146
LargeShell1000,shell,1000,PSO,1,600,1,46,0.3451162458775573,0.0,0.0525055130001419
LargeShell1000,shell,1000,PSO,2,600,1,43,0.3932567355109206,0.0,0.0480381899997155
LargeShell1000,shell,1000,PSO,3,600,1,57,0.373324068895616,0.0,0.0513729899994359
LargeShell1000,shell,1000,PSO,4,600,1,41,0.3463944431327715,0.0,0.0509463800008234
LargeShell1000,shell,1000,PSO,5,600,1,47,0.3923415929494065,0.0,0.0738737409992609
LargeShell1000,shell,1000,PSO,6,600,1,45,0.3751950331846362,0.0,0.082996164999713
LargeShell1000,shell,1000,PSO,7,600,1,43,0.3573447213404448,0.0,0.0907768559991382
LargeShell1000,shell,1000,PSO,8,600,1,44,0.3657744835508031,0.0,0.0570628000004944
LargeShell1000,shell,1000,PSO,9,600,1,43,0.3569866241434899,0.0,0.0525202239987265
