kappa,problem,method,seed,success,first_feasible,best_f,final_ncv,declared_cost,structural_gain
10,Annulus10,UCB-Violation,1,1,94,-0.11260833901889222,0.0,1245.2580316802078,64.37046016888617
10,Annulus10,UCB-Violation,2,1,108,-0.15716638569785735,0.0,1254.9867970075322,59.52816780964761
10,RotatedBox10,DCAS,0,1,263,7.504817306069692,0.0,1180.9770036448592,50.084046846075495
10,RotatedBox10,DCAS,1,1,226,6.219881895285035,0.0,1246.7503552310777,47.191853602337005
10,RotatedBox10,DCAS,2,1,241,5.349282775590183,0.0,1194.0911434951406,52.04838283881302
10,RotatedBox10,UCB-Success,0,1,204,4.929050671041068,0.0,1497.3702440570523,62.375067939590124
10,RotatedBox10,UCB-Success,1,1,166,4.117322457090627,0.0,1575.6673619485443,57.16334871099363
10,RotatedBox10,UCB-Success,2,1,149,5.5976364009453645,0.0,1595.903052816174,59.67887173315729
10,RotatedBox10,UCB-Violation,0,1,177,4.3267304298672,0.0,1206.809021604589,53.015170589295586
10,RotatedBox10,UCB-Violation,1,1,174,7.407093409842117,0.0,1171.4968776343746,47.579437220536306
